,title_name,content,review
0,3년전부터 디스크 진단받고 보존적 치료를 했는데 별로 ...,3년전부터 디스크 진단받고 보존적 치료를 했는데 별로 차도가 없네요 스트레칭과 운동으로 나아질수 있는건가요? 수술 이외에 근본적 치료 방법은 없는건지 궁금합니다,"안녕하세요, 하이닥 재활의학과 상담의 김현석 입니다.

수술 및 시술이 아니라면 보존적인 치료밖에 답이 없습니다. 증상이 있을 때 충분한 휴식, 물리치료, 견인치료, 먹는 약 등으로 증상 조절 하시고, 증상이 없을 때는 허리를 신전시키는 운동을 주로하여 디스크가 신경을 누르고 있는 압력을 줄여주고 척추주위근을 강화하여 디스크로 가는 부담을 줄여주는 것이 도움이 될 듯 합니다.

혼자서 하시기 어려우시다면 도수치료가 가능한 병원을 찾아 방문하시어 상담받아보시길 바랍니다.
제 답변이 도움이 되었길 바랍니다. 감사합니다."
1,허리디스크시술,"허리가 조이는 느낌라고 할까 당긴다고할까요
앞으로 숙이고 거나 뒤로 재껴도 아프거나
하지안해요 좀 시원하느낌 발저림 화끈거림이
있어 정형외과 진료후 선생님께서 허리요추
4번5번사이에 신경이 약간 눌려서 저림증세가
있다고 시술 주사를 맞자고해 허리쪽에 몇번맞아네요
따끔하고 참을만했습니다 오늘 아침에 일어나보니
허리딩김 발저림은 덜하는것 같아요 약도처방 받아
복용하구요 시술후 하루만에 낫는게 아닌가요
계속 발바닥 저림 허리쪽이 낫지않는다면 다시시술
해야하는지 아니면 시간이 지나야 발저림 허리조임이
낫는건지요 답변주시면 도움이될것 같아요","안녕하세요. 하이닥 정형외과 상담의 허성우입니다.

우선 주사 후에 불편감의 감소가 느껴지신다면 효과가 있는 것으로 생각할 수 있습니다.

시간이 지나면서 더 좋아지기도 하지만,

반대로 시간이 지나면서 좋아졌던 느낌이 다시 감소할 수도 있습니다.

이는 증상의 심각도에 따라 차이가 날뿐입니다.

주사를 맞고 나서 ""완치""가 될 수 있다면 정말 좋겠지만, 영원히 그럴 수는 없으며, 심지어 수술을 하는 경우에도 시간이 지남에 따라 약간씩은 불편감이 다시 생길 수 밖에 없음을 받아들이시는 것도 필요합니다.

약물 복용을 함께 치료를 해가며, 일상에서 보다 나은 생활이 가능하게끔 하는 것이 치료의 궁극적인 목적이며,

주사 치료를 통하여 보다 극대화할 수 있습니다.

증상이 좋아졌을 때 운동을 통하여 근력 강화를 하는 것이 도움이 되는 것은 사실이지만, 불편한 동안에는 무리를 안하심이 좋겠습니다.

주사를 정기적을 한다기 보다 몇번 연속해서 맞는 경우도 있으니, 불편감이 있는 동안 병원 방문을 꾸준히 하시어 개선을 기대해보시면 되겠습니다.

쾌유바바라겠습니다."
2,허리디스크 윗몸일으키기,"안녕하세요. 선생님.

작년 이맘때쯤 무리한 데드리프트 훈련 중
요추 5번 천추 1번 간 급성추간판 탈출증으로 지금까지 고생중입니다.

여러차례 시술도 하고 주사치료도 받고 하면서 통증 조절은 어느정도 되고 현재는 코어운동 따로하면서 척추단련중입니다.

제가 체력시험을 봐야하는 시험을 준비중입니다.
종목에 윗몸일으키기도 있는데
아직까지는 윗몸일으키기를 할때 허리가 아픕니다.

일단은 크런치, 플랭크, 가동범위 조절하면서 행잉 레그레이즈20개씩 5set로 훈련중인데

시험은 싯업으로 봐야해서요...

어떻게 운동하면 좋을까요?","안녕하세요, 하이닥 운동상담사 김정현 입니다.

일단, 알아두셔야 할 몇가지가 있습니다.
1. 싯업이나 레그라이즈는 척추안정성을 떨어트리는 나쁜 운동으로 요즘은 하지 않습니다.
2. 1년이 지나도록 제기능을 하지 못하고 있다는 것은 치료나 관리가(재활) 잘못 되었다는 뜻입니다.
3. 급성 추간판 탈출증은 결국 디스크가 밀려서 튀어나왔다는 소리죠? 디스크가 튀어나와 있어도 근육의 안정성이 높아지면 더이상 신경을 노르지 않습니다. 지금 싯업 동작이 안된다는건 디스크가 튀어나와 있어서가 아니라 근육이 아직도 고장나 있다는 뜻입니다. 재활을 제대로 못했다는 뜻입니다.

재활의 중요한 포인트
1. 강도설정 - 통증없이 충분히 버틸만한 강도에서 시작해야 하며 최소1-2주 정도 적응 후 아주 조금씩 강도를 높여나가야 합니다.
2. 코어안정성 운동부터 - 척추가 움직이지 않는 운동을 해야합니다. 충분히 안정성이 높아졌을 때 크런치나 싯업같이 척추가 움직이는 운동을 할 수 있습니다.

허리디스크의 재활운동 순서는 다음과 같습니다.

1. 스트레칭 - 근육을 부드럽게 풀어주고 짧아진 근육을 늘려주는 스트레칭을 온 몸 전신의 근육에 해주는 것이 좋습니다. 폼롤러나 마사지볼을 이용한 셀프근막이완도 좋습니다.
이렇게 근육을 잘 풀어주면 통증이 줄어들고 몸의 회복이 빨라지며 몸이 편안해 집니다.

2. 코어활성화 - 척추의 정상적인 위치를 잡아주는 코어기능을 활성화 시켜주는 운동입니다. 척추의 안정성을 높이고 자세교정에 도움이 됩니다.

3. 걷기 및 근육강화와 밸런스 운동 - 바른 자세로 걷기를 시작할 단계입니다. 더불어 약화된 근육을 강화시키면서 밸런스를 맞춰나가는 운동을 할 시기입니다.

4. 기능성운동 - 서서 몸의 협응성을 높여주는 다양한 동작을 훈련하는 시기입니다. 스쿼트나 데드리프트 같은...

운동의 팁 : 절대 통증이 없는 낮은 강도로 시작하시고 , 오래 걸리더라도 서서히 강도를 높이셔야 합니다. 동작의 속도는 천천히 할수록 효과가 좋습니다.

많은 분들이 몸에 맞지 않는 강도로 운동을 해서 부상을 입거나 효과를 보지 못하는 경우가 많습니다. 그럴 때는 운동처방사 국가자격 '건강운동관리사‘가 있는 재활운동 전문병원이나 센터에서 도움을 받으세요.

감사합니다."
3,남편이 강직성척추염이랑 목디스크가 있어요.직업이 굴삭 ...,"남편이 강직성척추염이랑 목디스크가 있어요.
직업이 굴삭기거든요. 목을 안쓸수가없죠.
겨울마다 목이랑 어깨를 너무아파해요...
목이아파서 어깨가아픈거같다고하더라구요.
이때되면 강직성척추염약을 먹어도 아프다해요.
잘안먹긴하지만... 저녁마다먹어요...
유난히 겨울만되면 목이 엄청아프다고하네요 ㅜㅜ
목욕탕가서 찜질도하고 핫백도해도 별로 효과도없고...
강직성척추염때문에도 목이아플수있나요?돌리는걸 힘들어해요.
쿡쿡찌르고 땡기고 목을 휙휙못돌려요 적당한정도만 돌려요
팔이나손저림 무디거나 마비증상이있진 않아요.
작년부터 겨울마다그러네요.... 작년에 목아파서 개인정형외과가서
목디스크진단은 받았구요.
간직성척추염은 약6~7년정도됬구요.
겨울만아니면 일상생활에는 크게 문제가 없어요.
심하지 않다고했어요. 약은 사실 잘 먹진 않아요.
통증있을때만 먹는정도..","안녕하세요, 하이닥 류마티스내과 상담의 이정찬 입니다.

1. 예, 강직성 척추염 때문에 목이 아플 수 있습니다. 돌리기가 안되는 것은 이미 강직이 되어서 그렇습니다. 디스크 증상이 아니기 때문에 팔 저림 등의 증상은 없을 겁니다.

2. 약을 복용하는 것을 하루 2번 이상으로 올리시고, 필요하다면 스테로이드 등의 더 강력한 항염제를 단기간 사용하는 것도 도움이 됩니다. 목에 직접 주사를 맞는 방법도 있고요.

감사합니다."
4,허리디스크 재 질문,"선생님
얼마전 허리 디스크로 상담 드렸던 사람 입니다.MRI 촬영 결과 디스크가 검게 나왔습니다.
허리 디스크가 검게 나온게 수액이 없으면 검게 나온다 하는데 그럼 나중에 디스크가 없어져
그 디스크자리에 인공 디스크를 넣어야 하는지요 혹 인공 디스크를 안넣어도 괜찮은지요
감사합니다.","안녕하세요. 하이닥 외과 상담의 송슬기입니다.

네 혈액순환이 잠깐 안되어 검게 보이는 것으로 혈액 순환제, 연골 강화제 등을 복용하시면 호전이 있을 거라고 판단됩니다."
5,디스크,"안녕하세요 저는 27세의 직장 남성입니다
얼마전에 직장에서 건강검진으로 요추 자기공명 영상을 찍었습니다
결과는 1. 요추4 번5번사이 디스크의좌측 관절하돌출및 되행성변화
2.요추 5번 척추 1번 사이 디스크의팽윤및 퇴행성변화
3.요추축의 직선화

라고 합니다 . 현재로는 많이 불편한거는 모르겠고 오래 앉아 있으면 허리가 조금아픈정도 입니다
선생님 저의 현재 증상이 어떠한건지도 궁금하고 운동은 어떠한것을해야하는지요?
현재 수영과 헬스장을다니고 있습니다 전에 어서 들으니 철봉에 메달리기를하면 허리에 좋다고 하던데
맞는말인지요 제가 주의 해야할운동과 권장할만한 운동은 무엇인지요?","안녕하세요, 하이닥 정형외과 상담의 조태환 입니다.

허리 디스크의 퇴행성변화는 빠르면 15세부터 시작될 수 있습니다.
MRI 판독으로 상기 소견이 나왔어도 임상 증상이 없으면 그냥 생활하시면 됩니다.
주의사항으로 무거운 물건을 들지 않기, 장거리 운전중에는 휴식하기, 오랫동안 앉아 있지 않기, 무리한 운동하지 않기 등이 있습니다.
체중증가는 허리에 부담을 줍니다.
수영이나 걷기가 좋으며 반신욕도 필요합니다. 수영 중에서 접영과 평영은 무리하지 않게 해야 합니다.
철봉 메달리기는 척추 견인 효과로 설명하고 잇으나 어깨 부상의 위험이 있습니다.
매일 꾸준히 체조, 스트레칭, 걷기, 수영 등 좋아하는 운동을 무리하지 않게 하시면 됩니다."
6,디스크,"- 상담내용 :
안녕하세요...^^","안녕하세요. 하이닥 정형외과 상담의 유재돈입니다.^

요추 디스크는 5개로 구성되어 있는데 그 중에서도 아래쪽에 있는 디스크(L4-5,L5-1) 이 전체 디스크 질환의 70% 이상을 차지하고
있습니다. 이는 몸무게가 요추의 아래쪽에 디스크에 집중되는 증상이 많이 생긴다는 것입니다. 디스크는 한번에 생기는 경우보다는
반복적이고 편향된 스트레스에 의한 경우가 많습니다.
이러한 스트레스를 잘 이겨내지 못했을 때 디스크변성증이 생긴다고 할 수 있습니다. 즉 디스크가 제 기능을 못하고 변하는 것이지요. 이렇게 되면 주변의 조직(근육이나 인대) 이 그 대신 일을 해주어야 하기 때문에 결국에는 허리에 통증이 생기는 위험이 증가하게 됩니다.
따라서 전체적으로 허리를 강화시켜주어서 디스크가 할일을 근육이 도와줄 수 있다면 디스크는 자연적으로 회복되는 경우도 있습니다.
수술은 수술증이 나타나는 꼭 필요한 경우에만 합니다. 현재는 수술증에 해당이 되지 않으므로 현재의 상태를 잘 유지하고 향상시키는
것이 우선입니다.
디스크가 잘 관리되지 않으면 신경쪽으로 더 튀어나오거나 혹은 터지기도 합니다. 이런 경우에는 대부분 다리가 저리다던지 하는
신경학적인 증상을 일으키게 됩니다.

허리는 불편한 상태가 개선되는 것을 확인하셔야 합니다. 보통의 경우, 일년에 몇 번씩 아프거나 혹은 조금씩 통증이 있는 것을
참고 생활하다가 디스크의 손상이 심해지는 경우가 허다합니다. 특별히 현대사회의 생활습관으로 볼 때 운동부족과 자세등의 문제가
디스크와 관련이 많다고 보고 있습니다.

복근이 좋아지면 허리에 가해지는 몸무게를 분산해서 가져가기 때문에 복부의 운동이 디스크에는 좋은 것입니다. 또한 운동시에는
앞,뒤와 좌, 우의 균형이 바르게 좋아지는 지를 확인하면서 해야합니다. 현재로서는 웨이트는 피하시는 것이 좋겠습니다.
답변이 되었나 싶군요. 좋은 결과를 기원합니다.^^"
7,디스크,"안녕하세요 저는 27세의 직장 남성입니다
얼마전에 직장에서 건강검진으로 요추 자기공명 영상을 찍었습니다
결과는 1. 요추4 번5번사이 디스크의좌측 관절하돌출및 되행성변화
2.요추 5번 척추 1번 사이 디스크의팽윤및 퇴행성변화
3.요추축의 직선화

라고 합니다 . 현재로는 많이 불편한거는 모르겠고 오래 앉아 있으면 허리가 조금아픈정도 입니다
선생님 저의 현재 증상이 어떠한건지도 궁금하고 운동은 어떠한것을해야하는지요?
현재 수영과 헬스장을다니고 있습니다 전에 어서 들으니 철봉에 메달리기를하면 허리에 좋다고 하던데
맞는말인지요 제가 주의 해야할운동과 권장할만한 운동은 무엇인지요?","안녕하세요, 하이닥 운동상담사 김정현 입니다.

허리가 압박을 받아서 서서히 무리가 가고 잇다는 뜻입니다.
많이 아프다고 느낄때는 이미 늦은 겁니다.
디스크나 연골 인대같은 조직은 재생이 되지 않기때문입니다. 평생 아껴 써야 한답니다.

디스크는 앉아 있거나 구부정한 자세가 가장 좋지 않으므로, 이런 습관을 개선해 주셔야 합니다.

디스크에 좋은 운동은 ... 특정 종목이 아닙니다.
일단 근육의 유연성이 1번입니다. 근육은 아무리 두껍고 힘이 강해도 딱딱하면 무용지물 입니다. 오히려 몸에 부담만 증가시키기 때문입니다.
2번은 코어의 안정성입니다. 그냥 근력운동이 아니라 자세를 잡아주는 자세유지근들의 안정성을 높여야 하는거죠. 겉에 있는 대근육 운동과 다릅니다.
3번은 밸런스를 잡아 바른 자세를 유지하는 것입니다. 자세가 틀어질수록 몸의 부담이 증가하기 때문이죠.
4번은 몸의 기능을 높여주는 기능성 운동을 하는 것입니다.

복잡하죠? 스스로 찾아서 하거나 혹은 운동처방사 국가자격 건강운동관리사에게 배워서 하는 것이 좋습니다.

거꾸리는 잠시 허리가 눌리지 않도록 자세를 바꿔줘서 잠시 편할수는 있으나 코어가 운동되는 것은 아닌지라, 내려오면 다시 눌리않게 막아줄수가 없습니다. 그시간에 코어운동 하는게 훨씬 이득입니다."
8,디스크,60대남자입니다 4번5번디스크입니다 디스크에좋은 운동을 알고싶습니다 어느운동은 좋다 나쁘다 헷갈리네요 참고로 멕켄지운동은 괞찬은지요,"안녕하세요, 하이닥 운동상담사 이윤빈 입니다.

먼저 디스크의 원인을 찾아 보는 것을 권하고 싶습니다. 질환 및 질병이 나타 나났을 때 원인을 찾기보다는 치료에만 급급하는 경우가 많습니다. 왜 내가 이러한 병을 가지게 된 것인지를 먼저 판단 하는 것 또한 병을 완화 또는 개선 시킬 수 있습니다.

특히 허리 디스크의 경우 생활습관에 영향을 많이 받게 됨으로 나의 일상적인 자세를 평가하시기 바랍니다. 또는 노화에 따라 발생하기도 하며, 사고의 경우도 다발적으로 발생합니다.

치료와 운동은 24시간 중에 1~2시간 가량 소비되지만 생활 습관은 수면 시간을 제외하고 허리에 영향을 줄 수 있음으로 생활습관을 개선을 먼저 실천하시기 바랍니다.

허리 디스크에 좋은 운동
1. 허리를 지면에 부착후 허리의 힘으로 지면을 누르는 동작 (호흡은 참지 마시고 지속적으로 하시기 바랍니다)
2. 허리와 손바닥을 지면에 부착후 골반을 지상으로 올리고 내리는 동작
3. 무릎을 가슴까지 당기는 동작
4. 엎드려서 다리를 지상으로 들어 올리는 동작(한발씩 시행)

멕켄지 운동 또한 허리에 도움을 줄 수 있는 동작으로 구성되어 있으나, 모든 동작이 개개인에게 효과를 가져다 주지는 못합니다. 여러 동작을 해 보시고 자신에게 맡는 동작을 선별하시는 것 또한 중요한 점으로 간주 할 수 있습니다.

감사합니다."
9,디스크,"상담내용 :2010년 8월에 갑자기 왼쪽 팔이 많이 저리고 어깨가 아파서 MRI촬영 결과 목디스크 증상으로 판정 되었으나 수술 단계가 아니라 물리치료 및, 견인치료를 받았는데 호전 되지 않아서 척추 전문 병원에서 3번에 걸쳐 신경 주사 치료를 받고 현제 팔이 저리거나 하지는 않지만 가끔 오른쪽 어깨가 무거우면서 팔꿈치 부위까지 뻐근한 느낌과 미세하게 엄지와 검지에 저린듯한 느낌이 가끔있습니다
그리고 작년에 허리가 아파서 다시 허리 MRI 촬영 결과 척추 4~5번에 퇴행성 디스크라 하시네요
허리는 다리가 저리거나 당기는 증상 없이 허리 통증만 있다 없다 반복 하며 제일 불편 한것 이 아침에 일어날때의 허리 통증 입니다
병원에서는 이번에도 허리 수술할 단계가 아니라는데요...
허리도 저번 처럼 신경 주사 치료 1번 받구요 괜찮다가 작년 겨울에 허리가 좀 많이 아파서 2012년 2월에 목과 허리 MRI 촬영 했는데 사진상증상이 변한게 없습니다
그럼에도 허리는 작년보다 더 아픈것 같고 이번에 신경주사 치료도 효과가 없습니다
병원에서는 운동를 권유 하시던데요
운동만으로도 좋아지는지요
그리고  현제 목디스크 제발가능성증상 궁금합니다","안녕하세요~ 하이닥 신경외과 상담의 남경훈 입니다.

경추부는 간헐적으로 비특이적인 증상이 나타나고, 2012.2. 에 촬영한 영상에서 별다른 변화가 없었다면 안심하셔도 될것같습니다.

그리고 허리디스크는 다리증상이 대표적이지만, 디스크성 요통도 흔히 동반됩니다. 올 2월에 찍은 사진에서 별다른 변화가 없었고

수술할 정도로 심하지 않았다면, 허리 근력을 강화하는 운동이 도움이 되고, 신경치료를 한번더 해보시는것도 좋을 것 같습니다.

디스크는 보존적 치료로도 좋은 예후를 보이는 경우가 많아서 병원에서 치료하시는 대로 운동과 치료를 병행하시길 권유드립니다.

감사합니다."
